t,x0,x1,x2,x3,x4,x5,x6,x7
1.147257328033447266e+01,5.111425369977951050e-02,-1.392970979213714600e-02,2.151292865164577961e-04,-1.616732915863394737e-04,1.422981470823287964e-01,-2.534415945410728455e-02,8.017265051603317261e-02,-1.862668059766292572e-02
1.147357368469238281e+01,5.110032483935356140e-02,-1.392591465264558792e-02,2.149676147382706404e-04,-1.615524524822831154e-04,1.422728002071380615e-01,-2.533964067697525024e-02,8.015402406454086304e-02,-1.862235181033611298e-02
1.147457408905029297e+01,5.108639970421791077e-02,-1.392212044447660446e-02,2.148060593754053116e-04,-1.614317006897181273e-04,1.422474533319473267e-01,-2.533512189984321594e-02,8.013540506362915039e-02,-1.861802488565444946e-02
1.147557353973388672e+01,5.107247829437255859e-02,-1.391832716763019562e-02,2.146446204278618097e-04,-1.613110507605597377e-04,1.422221213579177856e-01,-2.533060312271118164e-02,8.011678606271743774e-02,-1.861369796097278595e-02
1.147657394409179688e+01,5.105856060981750488e-02,-1.391453482210636139e-02,2.144833124475553632e-04,-1.611904881428927183e-04,1.421967893838882446e-01,-2.532608620822429657e-02,8.009817451238632202e-02,-1.860937289893627167e-02
1.147757434844970703e+01,5.104464665055274963e-02,-1.391074340790510178e-02,2.143221208825707436e-04,-1.610700128367170691e-04,1.421714574098587036e-01,-2.532156929373741150e-02,8.007956296205520630e-02,-1.860504783689975739e-02
1.147857379913330078e+01,5.103073641657829285e-02,-1.390695292502641678e-02,2.141610457329079509e-04,-1.609496248420327902e-04,1.421461403369903564e-01,-2.531705424189567566e-02,8.006095886230468750e-02,-1.860072463750839233e-02
1.147957420349121094e+01,5.101682990789413452e-02,-1.390316337347030640e-02,2.140001015504822135e-04,-1.608293241588398814e-04,1.421208232641220093e-01,-2.531253919005393982e-02,8.004235476255416870e-02,-1.859640143811702728e-02
1.148057365417480469e+01,5.100292712450027466e-02,-1.389937475323677063e-02,2.138392737833783031e-04,-1.607091107871383429e-04,1.420955061912536621e-01,-2.530802413821220398e-02,8.002375811338424683e-02,-1.859208010137081146e-02
1.148157405853271484e+01,5.098902806639671326e-02,-1.389558706432580948e-02,2.136785624315962195e-04,-1.605889992788434029e-04,1.420702040195465088e-01,-2.530351094901561737e-02,8.000516891479492188e-02,-1.858775876462459564e-02
